ROLE,PROJECT_CATEGORY,ACTIVITY,MON,TUE,WED,THUR,FRI,SAT,SUN,PROJECT_START_DATE_DAY,PROJECT_START_DATE_MONTH,PROJECT_START_DATE_YEAR,PROJECT_END_DATE_DAY,PROJECT_END_DATE_MONTH,PROJECT_END_DATE_YEAR,ATTENDANCE_REGULARIZATION,EMAIL_DOMAIN
1,0,1,11,6,8,8,7,11,4,2023,12,13,2024,01,03,1,70
1,1,1,11,6,8,8,7,11,4,2023,07,30,2023,08,13,1,70
1,1,1,11,6,8,8,7,11,4,2023,07,30,2023,08,13,1,70
1,0,1,11,6,8,8,7,11,4,2023,12,13,2024,01,03,1,70
1,0,1,11,6,8,8,7,11,4,2023,12,13,2024,01,03,1,70
1,0,1,11,6,8,8,7,11,4,2023,12,13,2024,01,03,1,70
1,0,1,11,6,8,8,7,11,4,2023,12,13,2024,01,03,1,70
1,1,1,11,6,8,8,7,11,4,2023,07,30,2023,08,13,1,70
1,1,1,11,6,8,8,7,11,4,2023,07,30,2023,08,13,1,70
1,0,1,11,6,8,8,7,11,4,2023,12,13,2024,01,03,1,70
1,0,1,11,6,8,8,7,11,4,2023,12,13,2024,01,03,1,70
1,1,1,11,6,8,8,7,11,4,2023,07,30,2023,08,13,1,70
1,1,1,11,6,8,8,7,11,4,2023,07,30,2023,08,13,1,70
1,0,1,11,6,8,8,7,11,4,2023,12,13,2024,01,03,1,70
1,1,1,11,6,8,8,7,11,4,2023,07,30,2023,08,13,1,70
1,1,1,11,6,8,8,7,11,4,2023,07,30,2023,08,13,1,70
1,0,2,11,12,10,6,6,9,11,2023,08,19,2023,09,23,1,70
1,0,2,11,12,10,6,6,9,11,2023,08,19,2023,09,23,1,70
1,0,2,8,5,2,12,1,1,3,2023,08,19,2023,09,23,0,70
1,0,2,8,5,2,12,1,1,3,2023,08,19,2023,09,23,0,70
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
